Construct,Measure,Confirmatory or Exploratory?,Variable Name,Aliases,ABCD Definition
Pubertal Timing,PDS (Parent-report),Confirmatory,pds_p_ss_male_category,pubertdev_ss_male_category_p,Pubertal Developmental Scale Parent (in abcd_ssphp01): Male Category pds_p_m_cat_sum (sum_p_m) = pds_bdyhair_y + pds_m4_p + pds_m5_p; 1 - prepuberty sum_p_m = 3; 2 - early puberty sum_p_m >= 4 and <= 5; 3 - mid puberty sum_p_m >= 6 and <= 8; 4 - late puberty sum_p_m >= 9 and <= 11; 5 - post puberty sum_p_m = 12; Validation: All items must be answered
,,Confirmatory,pds_p_ss_female_category,pubertdev_ss_female_category_p,"Pubertal Developmental Scale Parent (in abcd_ssphp01): Female Category: pds_p_m_cat_sum (sum_p_f) = pds_2_p + pds_f4_p; 1 - prepuberty - sum_p_f = 2 and pds_f5_p = 1, 2 - early puberty - sum_p_f = 3 and pds_f5_p = 1, 3 - mid puberty - sum_p_f >= 3 and pds_f5_p = 1, 4 - late puberty - sum_p_f <= 7 and pds_f5_p = 4, 5 - post puberty - sum_p_f = 8 and pds_f5_p = 4; Validation: All items must be answered"
,,Confirmatory,pds_f4_p,pubertdev_f4_p,Have you noticed that your child's breasts have begun to grow?
,,Confirmatory,pds_f5b_p,pubertdev_f5b_p,Has she begun to menstruate? 
,,Confirmatory,pds_f6_p,pubertdev_f6_p,How old was she when she started to menstruate?
Testosterone,Saliva Sample,Exploratory,Hormone_scr_ert_mean,,Salimetrics hormone test testosterone (ERT) mean of measures (pg/mL)
,,Exploratory,hormone_sal_wake_y,biospec_hormone_sal_wake,What time did you wake up today?
,,Exploratory,hormone_scr_ert_rep1_qns,,Salimetrics hormone test testosterone (ERT) quality not sufficient (repetition 1)
,,Exploratory,hormone_scr_ert_rep2_qns,,Salimetrics hormone test testosterone (ERT) quality not sufficient (repetition 2)
,,Exploratory,hormone_sal_caff_y,biospec_hormone_sal_caff,Have you had any caffeine in the last 12 hours?; 1 = Yes; 0 = No
Depression,CBCL,Confirmatory,Cbcl_scr_syn_internal_t,N/A,Internal CBCL Syndrome Scale (t-score)
,,Exploratory,Cbcl_scr_syn_anxdep_t,N/A,AnxDep CBCL Syndrome Scale (t-score)
,,Exploratory,Cbcl_scr_syn_withdep_t,N/A,WithDep CBCL Syndrome Scale (t-score)
,,Exploratory,cbcl_scr_dsm5_depress_t,N/A,Depress CBCL DSM5 Scale (t-score)
Reward Anticipation,,,,,
Neural,MID Task,,,,
,Anticipation stage,,,,
,nucleus accumbens,Confirmatory,tfmri_ma_acdn_b_scs_aarh,"tfmri_mid_all_antic.reward.vs.neutral_beta_subcort.aseg_accumbens.area.rh, tfmri_mid_all_anticrewardvsneutral_beta_subcortaseg_accumbensarearh",Beta weight for MID all anticipation of reward versus neutral contrast in ASEG ROI right-accumbens-area
,,Confirmatory,tfmri_ma_acdn_b_scs_aalh,"tfmri_mid_all_antic.reward.vs.neutral_beta_subcort.aseg_accumbens.area.lh, tfmri_mid_all_anticrewardvsneutral_beta_subcortaseg_accumbensarealh",Beta weight for MID all anticipation of reward versus neutral contrast in ASEG ROI left-accumbens-area
,caudate,Confirmatory,tfmri_ma_acdn_b_scs_cdrh,"tfmri_mid_all_antic.reward.vs.neutral_beta_subcort.aseg_caudate.rh, tfmri_mid_all_anticrewardvsneutral_beta_subcortaseg_caudaterh",Beta weight for MID all anticipation of reward versus neutral contrast in ASEG ROI right-caudate
